ABECAL    -0.4854155    1.16552886    1.1972    -1.22887114    0.0917    0.02    0.04873    1.2896359    1.196723109    -1.103810318    6.3887877    -1.7660078    901.817    184    0.824200985    3.34243    354
ANTCEN    -0.6346781    1.92572648    1.931166264    -1.936606048    0.267    0.29    0.05269    2.3188883    1.972071661    -1.625255022    7.0812223    -0.5996683    451.1    48    0.790580555    3.1885    178
BEANTR    -1.1674743    2.09942163    2.203590888    -2.307760146    0.2    0.24    0.04001    2.4949975    2.184192619    -1.873387738    6.9994426    -0.6720815    576.224    60    0.792068295    3.1674    228
BENZEN    -2.9085663    4.36215239    4.477658034    -4.593163678    0.259    0.27    0.07013    5.1035008    4.357470303    -3.611439806    9.2566932    1.2756228    198.8172    48    0.673035384    2.7487    78
BIFUOR    -2.3953025    2.92087888    3.2899    -3.65892112    0.3    0.37    0.06581    3.5089075    3.348211441    -3.187515382    7.1295039    -0.2953717    834.59    176    0.786491552    3.16    330
BIGJUX    -0.8421933    1.40058405    1.4035    -1.40641595    0.0231    0.04    0.0081    1.4676259    1.302660243    -1.137694586    5.761128    -1.8181751    2351.591    480    0.768024561    3.0615    934
BIPHEN    -1.301895    3.23133328    3.6572    -4.08306672    0.24    1.24    0.04222    3.5417093    3.187101185    -2.83249307    7.831232    0.0826369    393.5151    44    0.763650201    3.0442    154
BNPERY    -0.9846213    1.74328721    1.847767495    -1.95224778    0.314    0.25    0.06453    2.151086    1.8949902    -1.6388944    6.7258562    -0.9468051    688.533    136    0.863302409    3.2869    276
BNPYRE10    -1.0672208    1.66910054    1.8146    -1.96009946    0.165    0.69    0.03142    2.2183679    1.930791359    -1.643214818    6.7706001    -0.843578    634.533    128    0.848214237    3.40832    252
BOXGAW    -0.8887836    1.05075587    1.0767    -1.10264413    0.174    0.48    0.03738    1.4133185    1.219566422    -1.025814344    5.9927148    -1.6737303    1178.451    224    0.903819019    3.57804    474
BZPHAN    -1.9023924    2.54922335    2.616967112    -2.684710874    0.208    0.22    0.04315    2.9189528    2.629397662    -2.339842524    7.2203126    -0.4533371    576.497    120    0.799729537    3.2079    228
CARREU    -0.452522    1.07371604    1.001334175    -0.92895231    0.18636    0.25667    0.07069    1.27556068    1.045484971    -0.815409262    5.775295566    -1.728277123    1782.22    180    0.791721938    3.16542845    1414
CENXUO    -1.4431317    2.19502312    2.212    -2.22897688    0.0521    0.06    0.02003    2.3158897    2.16775885    -2.019628    6.3454159    -0.9623164    1323.847    264    0.822836462    3.29787    528
CENYAV    -1.1894472    2.13177298    2.1697    -2.20762702    0.0806    0.08    0.02409    2.3231081    2.121232302    -1.919356504    6.3230837    -1.0106632    1326.798    132    0.788159582    3.14763    528
