prefix et_xtal gap_xtal
1502048/ 1.158999068698904 1.04743606
1502120/ 1.6657344050036045 1.55710296
1502975/ 1.4764134352881229 1.48165223
1503213/ 1.6290900320018409 1.50818188
1503735/ 1.2562361430973397 1.07009951
1505035/ 1.6132830510032363 1.58166908
1505100/ 1.4300521960976766 1.3879929
1505378/ 1.418431289595901 1.43497207
1505471/ 1.303297887003282 1.24771486
1505620/ 1.5188366462971317 1.47188946
1505656/ 1.5844284105987754 1.4713097
1506409/ nan 1.95432397
1506523/ 1.4372199681965867 1.21564057
1508311/ 1.379367767702206 1.23124036
1511796/ 1.8857742764957948 1.87857471
1512576/ 1.826705352999852 1.52687977
1513692/ 0.9422106064012041 0.99462473
1515000/ 1.661233055201592 1.55161284
1515707/ 1.6922616361007385 1.5201145
1516085/ 1.8366602879104903 1.7796512
1516091/ 1.4770406247043866 1.24670139
1516687/ 1.2808603513039998 1.24792223
1516688/ 1.2458092434026184 1.30815763
1518008/ 1.334084905898635 1.08426029
1518200/ 1.6593298170919297 1.60469037
1519519/ 1.5546544840035494 1.45008016
1543130/ 1.7174053774942877 1.59445593
1544069/ 1.827700216206722 1.84231348
2005557/ 2.0027695058088284 1.92342963
2006749/ nan 1.15300185
2006823/ 2.1009891676949337 1.97472001
2008400/ 2.0012241498043295 2.02029809
2009555/ 1.5431484216969693 1.41876348
2010884/ 1.5327564902036102 1.34861496
2012148/ 1.765726465098851 1.59765151
2012248/ 1.536302431297372 1.38606549
2012554/ 1.6833863710053265 1.62194193
2012982/ 1.6223125042961328 1.33492568
2017121/ 1.1962308349902742 1.08493345
2017122/ 1.184691231988836 1.0702755
2017425/ 1.3800310686929151 1.353519
2018482/ 1.4191670182990492 1.42562036
2100836/ 1.3834003568008484 1.26283812
2101202/ 1.9576930276089115 1.93417434
2101889/ nan 1.88014341
2101908/ 1.394519154804584 1.27869234
2102148/ 1.6315462355996715 1.62898146
2102187/ 1.5399956221954199 1.4388784
2102190/ 1.5859811565023847 1.50741002
2102786/ nan 1.90328613
2103285/ 1.4591042125975946 1.35797351
2103571/ 0.8467908480088226 0.78306321
2103872/ 1.310673632498947 1.36811324
2105563/ 2.127882441302063 2.01772252
2105564/ 2.117554293399735 2.00191161
2201315/ 2.09520727799827 1.95151373
2201484/ 1.6772157962041092 1.68415364
2202571/ nan 1.94198904
2202813/ 1.3125072597977123 1.03864215
2203908/ nan 1.10446655
2203987/ 1.5435730588942533 1.42394807
2205413/ 1.544627796203713 1.44680191
2205629/ 1.4906343291004305 1.22843679
2206070/ 1.584367828501854 1.49967276
2206802/ 1.8294990175054409 1.75192505
2211679/ nan 1.45338793
2213054/ 1.8882534709991887 1.83809392
2214763/ 1.1903129827041994 1.29236406
2215601/ 1.6842550931978622 1.59808384
2217072/ 1.2573393203056185 1.09182466
2217795/ 1.7869280630984576 1.75569546
2218869/ 1.7307680165104102 1.57135067
2219807/ 1.8910342154995305 1.72444346
2219889/ 1.8998201730137225 1.88353522
2222158/ 1.933609034098481 1.90385462
2222991/ 1.8450555608978902 1.5940506
2223289/ 1.7214665870997123 1.57182528
2224883/ 1.9256257261004066 1.84143712
2226427/ 1.781388272800541 1.70903463
2228277/ 1.9070717781869462 1.79591045
2229841/ nan 1.86380145
2229992/ 1.7827677497989498 1.80378331
2231295/ 1.5464112570989528 1.54888964
2231798/ 1.8481238535969169 1.8519887
2232260/ 1.0511984410040895 1.01826438
2232526/ 1.8712233527985518 1.72340659
2233778/ 1.9597484502010047 1.86143539
2234776/ 1.9693270351999672 1.83654561
2236892/ 1.5552650227036793 1.60557485
2237442/ 1.6247072362020845 1.56822923
2238083/ 1.948057294895989 1.88829994
2238201/ 2.047923572201398 1.97469412
2238229/ 1.4511487800918985 1.38650983
2239390/ 1.8712866937057697 1.7958833
2239440/ 1.8544376629870385 1.72340857
2300563/ nan 1.32932453
4001223/ 1.4490805847017327 1.45133142
4022223/ 1.5702465409995057 1.49696184
4022453/ 1.4395425855982467 1.22763617
4022530/ 1.6857942007045494 1.69394772
4022929/ 1.5583320912119234 1.44180881
4023766/ 1.5248170859995298 1.33722408
4024277/ 1.6360439034979208 1.43119082
