name,IP,EA,Et,gap
4116485/,6.536736273,-4.150785741,-0.018164463,0.38514073
4116486/,6.579318299,-4.185840244,0.040524319,0.4150967
7207509/,7.054632771,-3.107475025,0.691005366,0.87112206
4027107/,8.095899059,-3.417613502,0.886455989,0.0523771
2203908/,7.590953155,-1.489669534,1.011616521,1.04107839
2300563/,9.08950672,-3.424106892,1.223204618,1.58755669
4319626/,7.402465754,-1.533521504,1.024715008,1.28572026
2214284/,7.363917847,-1.839131268,1.039958415,0.53758523
4116206/,6.910996156,-0.922885622,0.987376965,1.09840603
4026096/,8.682295248,-3.014711244,1.267222795,1.32238093
7204618/,7.770515819,-1.892342144,1.13825271,1.39401739
7204616/,7.802834408,-1.711257007,1.150553844,1.41470537
4029898/,8.485421447,-1.800796808,1.256067624,1.49056373
7109311/,8.812530997,-3.437301188,1.344929373,1.37551729
4110318/,5.970796203,-1.480214095,0.920928075,1.17196113
1513692/,6.186846732,-1.749882453,0.954484745,1.22199315
2103872/,6.905978474,-0.883785451,1.067556985,1.17998906
2018482/,6.747026844,-0.68066084,1.051452415,1.13065665
2102148/,7.038799227,-0.60541261,1.106012919,1.09938716
2211679/,7.591511045,-0.942096409,1.192861205,1.46861214
2103571/,7.001714595,-1.777929908,1.104526214,1.05349952
2103285/,6.711436026,-0.696586429,1.065627652,1.13498178
7109189/,6.52002394,-2.031150854,1.045205024,1.14835914
2101908/,7.125590753,-1.973910329,1.147855235,1.31182588
4513075/,6.894435004,-1.764133736,1.132053516,1.07156159
4026073/,7.892476059,-1.719004933,1.298582907,1.36664792
1502048/,7.283406944,-2.180062893,1.201270445,1.42718661
8101221/,7.5295023,-2.319621012,1.2758369,1.51411805
2215601/,9.110354695,-0.81808757,1.558648051,1.83637785
8100630/,7.978411075,-3.008890156,1.365361588,1.55099984
7109250/,5.602153454,-1.891915799,0.962444837,1.09336571
8100631/,7.978524416,-2.987372692,1.37484363,1.56061925
2232260/,7.02403365,-1.711501216,1.210418168,1.35735524
1518008/,7.905658218,-2.684838288,1.367710779,1.46684581
4108657/,7.371291003,-2.239938181,1.275505874,1.33281005
4022530/,7.493773635,-0.425259415,1.297163031,1.48448418
7052926/,8.858665694,-1.932663766,1.539910528,1.80141703
7109249/,5.513041646,-1.747526885,0.968770017,1.10691567
2203987/,7.033953287,-1.430421796,1.249236041,0.72898514
2009731/,9.136758089,-2.874794944,1.626445987,1.86121018
2006749/,8.01661832,-1.96792182,1.429560533,1.04978458
1505621/,7.971773141,-2.497506941,1.426886646,1.50437051
7030021/,7.274124516,-1.825263101,1.311419785,1.44323133
4062611/,7.619789893,-1.772904264,1.378178397,1.5446611
7153075/,6.378561416,-1.691984294,1.161742445,1.27834553
7100462/,7.379631207,-1.174051527,1.345845521,1.23805512
7205532/,9.32539279,-2.654309306,1.702108001,1.94028876
4062606/,7.222170475,-1.801210976,1.333727634,1.47135384
1505035/,8.199791482,-1.875158799,1.519319275,1.57026904
2202813/,6.765436537,-1.206386808,1.258824098,1.46086691
2017425/,6.967517656,-0.339810259,1.29740425,1.40633917
4111185/,6.621728381,-2.019816284,1.236733503,1.35594829
4061577/,6.069973063,-1.579758253,1.138138525,1.15945591
